집계년월,시군명,시설번호,놀이시설명,설치일자,설치장소,민간공공구분명,실내외구분명,소재지우편번호,소재지지번주소,소재지도로명주소,경도,위도,Ride_risk,accident
201606,고양시,28966,별생각어린이집 놀이터,20081125,어린이집,민간,실외,10271,경기도 고양시 덕양구 벽제동 389-6번지 별생각어린이집,경기도 고양시 덕양구 보광로50번길 33,126.9061685,37.71912442,0.2,0.035
201606,고양시,29085,옥빛마을 16단지1602동 어린이 놀이시설,20090318,주택단지,민간,실외,10503,경기도 고양시 덕양구 화정동 1141번지 옥빛마을16단지아파트,,126.8318744,37.62697039,0.3,0.06
201606,고양시,28015,행신7호 어린이공원 놀이터,19971231,도시공원,공공,실외,10529,경기도 고양시 덕양구 행신동 783번지 소만마을7단지아파트,,126.840349,37.6159995,0.4,0.13
201606,고양시,28014,행신8호 어린이공원 놀이터,19971231,도시공원,공공,실외,10530,경기도 고양시 덕양구 행신동 787번지 소만마을6단지아파트,,126.8403204,37.61349475,0.4,0.13
201606,고양시,25529,푸른마을 1단지 어린이 놀이시설 1,20080905,주택단지,민간,실외,10270,경기도 고양시 덕양구 고양동 735번지 푸른마을1단지아파트,,126.9035513,37.70849992,0.3,0.06
201606,고양시,25866,위시티자이주상복합아파트 3층 놀이터,20100901,주택단지,민간,실외,10323,경기도 고양시 일산동구 식사동 1528번지 위시티일산자이주상복합,경기도 고양시 일산동구 위시티2로11번길 45,126.8122356,37.67860182,0.3,0.06
201606,고양시,25903,궁골어린이공원 놀이터,20100831,도시공원,공공,실외,10361,경기도 고양시 일산서구 주엽동 56번지,경기도 고양시 일산서구 고봉로 99,126.7699016,37.66966031,0.4,0.13
201606,고양시,25904,회화어린이공원 놀이터,20100913,도시공원,공공,실외,10365,경기도 고양시 일산서구 주엽동 95번지,경기도 고양시 일산서구 강선로 8,126.7619365,37.66521155,0.4,0.13
201606,고양시,25906,강재어린이공원 놀이터,20100913,도시공원,공공,실외,10388,경기도 고양시 일산서구 주엽동 52번지,경기도 고양시 일산서구 강성로 126,126.7635223,37.67254864,0.4,0.13
201606,고양시,25908,백암어린이공원 놀이터,20110531,도시공원,공공,실외,10384,경기도 고양시 일산서구 주엽동 131번지,경기도 고양시 일산서구 주엽로 117,126.7560513,37.66951501,0.4,0.13
201606,고양시,25910,왕산어린이공원 놀이터,20060101,도시공원,공공,실외,10367,경기도 고양시 일산서구 대화동 2096번지,경기도 고양시 일산서구 대산로 254,126.7510145,37.6808475,0.4,0.13
201606,고양시,25913,탄현(탄현5호)어린이공원 놀이터,20070101,도시공원,공공,실외,10244,경기도 고양시 일산서구 탄현동 1488-3번지,경기도 고양시 일산서구 홀트로 36,126.7683736,37.6941815,0.4,0.13
201606,고양시,26004,성산어린이집 놀이터,20100910,어린이집,민간,실외,10374,경기도 고양시 일산서구 일산동 1074번지 후곡마을10단지아파트 성산어린이집,,126.7697899,37.68001217,0.2,0.035
201606,고양시,26178,성저동익아파트관리 소놀이터,20081009,주택단지,민간,실외,10376,경기도 고양시 일산서구 대화동 2212번지 성저마을1단지아파트,,126.7506012,37.67904469,0.3,0.06
201606,고양시,26217,소만마을 8단지 어린이 놀이시설,20081013,주택단지,민간,실외,10529,경기도 고양시 덕양구 행신동 781번지 소만마을8단지아파트,,126.8408222,37.61713538,0.3,0.06
201606,고양시,26256,화정 옥빛마을 풍산아파트 어린이 놀이시설,20081016,주택단지,민간,실외,10504,경기도 고양시 덕양구 화정동 1127번지 옥빛마을15단지아파트,,126.8340104,37.62916283,0.3,0.06
201606,고양시,26257,중산마을10단지 경남동신아파트 1006동 놀이터,20081016,주택단지,민간,실외,10337,경기도 고양시 일산동구 중산동 1566번지,경기도 고양시 일산동구 탄중로 426,126.7782093,37.68859666,0.3,0.06
201606,고양시,26258,햇빛마을 20단지 어린이 놀이시설 4,20081006,주택단지,민간,실외,10494,경기도 고양시 덕양구 행신동 934번지 햇빛마을20단지아파트,,126.8391167,37.62527783,0.3,0.06
201606,고양시,26260,햇빛마을 20단지 어린이 놀이시설 2,20081006,주택단지,민간,실외,10494,경기도 고양시 덕양구 행신동 934번지 햇빛마을20단지아파트,,126.8391167,37.62527783,0.3,0.06
201606,고양시,26269,후곡6단지 건영동부아파트 610동 옆 어린이놀이터,20081014,주택단지,민간,실외,10372,경기도 고양시 일산서구 일산동 1050번지 후곡마을6단지아파트,,126.7611012,37.68162542,0.3,0.06
201606,고양시,26478,밤가시마을1단지 건영빌라 놀이터,20081030,주택단지,민간,실외,10359,경기도 고양시 일산동구 정발산동 1170번지 밤가시건영빌라1단지,경기도 고양시 일산동구 일산로463번길 80,126.7729912,37.67117999,0.3,0.06
201606,고양시,26502,햇빛마을 21단지 어린이 놀이시설 2,20080924,주택단지,민간,실외,10484,경기도 고양시 덕양구 행신동 905번지 햇빛마을21단지아파트,,126.8421256,37.62727311,0.3,0.06
201606,고양시,26533,고양 대림아파트 어린이 놀이시설,20081209,주택단지,민간,실외,10506,경기도 고양시 덕양구 토당동 259번지 대림아파트,경기도 고양시 덕양구 토당로 123,126.8164016,37.62646944,0.3,0.06
201606,고양시,27014,고양피크닉시민공원(자연학습장 내) 놀이터,20100601,도시공원,공공,실외,10226,경기도 고양시 일산서구 대화동 2337번지,경기도 고양시 일산서구 대화로 355,126.7532087,37.68573538,0.4,0.13
201606,고양시,27262,덕양구청직장어린이집 실내 놀이터,20100520,어린이집,공공,실외,10498,경기도 고양시 덕양구 화정동 959번지 덕양구청직장어린이집,경기도 고양시 덕양구 은빛로 78,126.8364286,37.63696868,0.2,0.035
201606,고양시,27353,덕이시립어린이집 놀이터,20070515,어린이집,공공,실외,10212,경기도 고양시 일산서구 덕이동 1003-5번지,경기도 고양시 일산서구 송산로 567-42,126.7387944,37.69356938,0.2,0.035
201606,고양시,27394,능곡3호(밤나무) 어린이공원,19971231,도시공원,공공,실외,10483,경기도 고양시 덕양구 행신동 898,,126.8384877,37.62797086,0.4,0.13
201606,고양시,27432,대화마을아이파크아파트 901동 옆 놀이터,20100305,주택단지,민간,실외,10222,경기도 고양시 일산서구 대화동 2582번지 대화마을9단지아파트,,126.7343832,37.66860275,0.3,0.06
201606,고양시,27467,소만마을 9단지 어린이 놀이시설 2,20100428,주택단지,민간,실외,10532,경기도 고양시 덕양구 행신동 793번지 소만마을9단지아파트,,126.8430079,37.61730054,0.3,0.06
201606,고양시,27469,배다리공원 놀이터,20100427,도시공원,공공,실외,10296,경기도 고양시 덕양구 주교동 296,,126.8292082,37.66279807,0.4,0.13
201606,고양시,27531,대화마을 아이파크 10단지아파트,20100305,주택단지,민간,실외,10222,경기도 고양시 일산서구 대화동 2580번지 대화마을10단지아파트,,126.7357744,37.66940777,0.3,0.06
201606,고양시,27644,화정18호 어린이공원 놀이터,19941231,도시공원,공공,실외,10502,경기도 고양시 덕양구 화정동 949,,126.8269321,37.62835963,0.4,0.13
201606,고양시,27963,시립행신그린어린이집 놀이터,20100405,어린이집,공공,실외,10525,경기도 고양시 덕양구 행신동 747번지 시립행신그린어린이집,경기도 고양시 덕양구 용현로 47,126.8355105,37.61693876,0.2,0.035
201606,고양시,28012,능곡5호(자작나무) 어린이공원,19971231,도시공원,공공,실외,10484,경기도 고양시 덕양구 행신동 906,,126.8432609,37.62610339,0.4,0.13
201606,고양시,28013,행신9호 어린이공원 놀이터,19971231,도시공원,공공,실외,10532,경기도 고양시 덕양구 행신동 792,,126.8437905,37.61677903,0.4,0.13
201606,고양시,29101,"일산 동문 2,3차 301동 앞 놀이터",20081202,주택단지,민간,실외,10352,경기도 고양시 일산서구 일산동 960-6번지 동문굿모닝힐2차아파트,,126.7640467,37.68576684,0.3,0.06
201606,고양시,29109,중산마을9단지 한성두산아파트 906동 제2놀이터,20081218,주택단지,민간,실외,10337,경기도 고양시 일산동구 중산동 1566-2번지 중산마을9단지아파트,,126.7797055,37.68870762,0.3,0.06
201606,고양시,29519,문촌마을16단지 뉴삼익아파트1606동 앞 놀이터,20081219,주택단지,민간,실외,10385,경기도 고양시 일산서구 주엽동 117번지 문촌마을16단지아파트,,126.75866,37.66898887,0.3,0.06
201606,고양시,39374,후곡마을15단지건영아파트 1508동 놀이터,20100727,주택단지,민간,실외,10374,경기도 고양시 일산서구 일산동 1077번지 후곡마을15단지아파트,,126.76899,37.67840687,0.3,0.06
201606,고양시,39418,과학 어린이공원 놀이터(식사4호 어린이공원),20100812,도시공원,공공,실외,,경기도 일산동구 식사동 1502(GS자이아파트 내),,,,0.4,0.13
201606,고양시,39434,미래클어린이집 놀이터,20100813,어린이집,민간,실외,10532,경기도 고양시 덕양구 행신동 793번지 소만마을9단지아파트,,126.8430079,37.61730054,0.2,0.035
201606,고양시,39478,옥빛마을 14단지 어린이 놀이시설,20100629,주택단지,민간,실외,10503,경기도 고양시 덕양구 화정동 1004번지 옥빛마을14단지아파트,,126.8322328,37.62874583,0.3,0.06
201606,고양시,39486,큰마을 대림현대 아파트 125동 놀이터,20100630,주택단지,민간,실외,10239,경기도 고양시 일산서구 탄현동 121번지 큰마을대림아파트,경기도 고양시 일산서구 일현로 140,126.7649848,37.70085083,0.3,0.06
201606,고양시,39560,위시티일산자이아파트2단지 216동 앞 놀이터,20100614,주택단지,민간,실외,10322,경기도 고양시 일산동구 식사동 1498번지 위시티일산자이2단지아파트,,126.8159098,37.68256294,0.3,0.06
201606,고양시,39583,행신 동문 아파트 어린이 놀이시설,19981015,주택단지,민간,실외,10493,경기도 고양시 덕양구 행신동 220번지 행신동동문아파트,경기도 고양시 덕양구 행신로325번길 37-13,126.8445124,37.62352829,0.3,0.06
201606,고양시,39697,강선마을17단지 일산동성아파트 1703동 놀이터,20100615,주택단지,민간,실외,10365,경기도 고양시 일산서구 주엽동 90번지 강선마을17단지아파트,,126.7632645,37.6646016,0.3,0.06
201606,고양시,40802,고양3호 어린이공원(푸른마을10단지) 놀이터,20091026,도시공원,공공,실외,10270,경기도 고양시 덕양구 고양동 742번지(푸른마을10단지앞 어린이공원),,126.9049993,37.71126708,0.4,0.13
201606,고양시,41361,주교9호 어린이공원 놀이터(e편한세상-원당주공1단지),20091111,도시공원,공공,실외,10455,경기도 고양시 덕양구 주교동 713-2,,126.8306789,37.64924065,0.4,0.13
201606,고양시,41538,시립마두어린이집 놀이터,20091209,어린이집,공공,실외,10411,경기도 고양시 일산동구 마두동 920번지,경기도 고양시 일산동구 일산로 271,126.7863534,37.65996122,0.2,0.035
201606,고양시,41771,온누리감자탕(구:88감자탕),20091126,식품접객업소,민간,실내,10486,경기도 고양시 덕양구 행신동 1083번지 아성프라자 2층,경기도 고양시 덕양구 중앙로 442,126.8458942,37.61819638,0.5,0.16
201606,고양시,16865,쌍용아파트 101동 어린이놀이터,20050201,주택단지,민간,실외,10241,경기도 고양시 일산서구 탄현동 130번지 쌍용스윗닷홈아파트,경기도 고양시 일산서구 일현로 151,126.7643795,37.69867829,0.3,0.06
201606,고양시,16867,탄현신원1차아파트 어린이놀이터,20021231,주택단지,민간,실외,10348,경기도 고양시 일산서구 일산동 2125번지 신원1차아파트,,126.7621561,37.68845687,0.3,0.06
201606,고양시,16868,탄현신원2차아파트 어린이놀이터,20030130,주택단지,민간,실외,10348,경기도 고양시 일산서구 일산동 2121번지 신원2차아파트,,126.762578,37.68770994,0.3,0.06
201606,고양시,16875,탄현마을 16단지 관리동 옆 어린이놀이터,20001015,주택단지,민간,실외,10345,경기도 고양시 일산서구 탄현동 1585번지 탄현마을16단지아파트,,126.769492,37.69185023,0.3,0.06
