"gid","주차장","건물1","건물2","건물3","관공서","생산가능인구","전기차","충전소","교통량","유동인구","경도","위도","거리_전기차","거리_충전소","거리_교통량"
"다바794683",0,0,0,0,0,0,0,0,0,0,127.2696018,36.81310891,0,0,0
"다바794682",0,0,0,0,0,0,0,0,0,0,127.2696045,36.81220745,0,0,0
"다바794681",0,0,0,0,0,0,0,0,0,0,127.2696072,36.81130598,0,0,0
"다바794680",0,0,0,0,0,0,0,0,0,0,127.2696099,36.81040452,0,0,0
"다바794679",0,0,0,0,0,0,0,0,0,0,127.2696126,36.80950305,0,0,0
"다바794678",0,3,0,0,0,0,0,0,0,0,127.2696153,36.80860159,0,0,0
"다바794677",0,7,0,0,0,0,0,0,0,0,127.269618,36.80770012,0,0,0
"다바794676",0,0,0,0,0,0,0,0,0,0.32,127.2696207,36.80679866,0,0,0
"다바794675",0,0,0,0,0,0,0,0,0,0,127.2696234,36.80589719,0,0,0
"다바794674",0,1,0,0,0,0,0,0,0,0,127.2696261,36.80499573,0,0,0
"다바794673",0,0,0,0,0,0,0,0,0,0,127.2696288,36.80409426,0,0,0
"다바794672",0,0,0,0,0,0,0,0,0,0,127.2696315,36.8031928,0,0,0
"다바794671",0,3,0,0,0,0,0,0,0,0.43,127.2696342,36.80229133,0,0,0
"다바794670",0,0,0,0,0,0,0,0,0,47.9,127.2696369,36.80138987,0,0,0
"다바794669",0,0,0,0,0,0,0,0,0,23.29,127.2696396,36.8004884,0,0,0
"다바794668",0,0,0,0,0,0,0,0,0,0,127.2696423,36.79958693,0,0,0
"다바794667",0,3,0,0,0,0,0,0,0,0,127.269645,36.79868547,0,0,0
"다바794666",0,0,0,0,0,0,0,0,0,0,127.2696477,36.797784,0,0,0
"다바794665",0,0,0,0,0,0,0,0,0,0,127.2696504,36.79688254,0,0,0
"다바794664",0,0,0,0,0,0,0,0,0,0,127.2696531,36.79598107,0,0,0
"다바794663",0,0,0,0,0,0,0,0,0,0,127.2696558,36.7950796,0,0,0
"다바794662",0,0,0,0,0,0,0,0,0,0,127.2696585,36.79417813,0,0,0
"다바794661",0,0,0,0,0,0,0,0,0,0,127.2696612,36.79327667,0,0,0
"다바794660",0,0,0,0,0,0,0,0,0,0,127.2696639,36.7923752,0,0,0
"다바794659",0,0,0,0,0,0,0,0,0,0,127.2696666,36.79147373,0,0,0
"다바794658",0,0,0,0,0,0,0,0,0,0,127.2696693,36.79057227,0,0,0
"다바794657",0,0,0,0,0,0,0,0,0,0,127.269672,36.7896708,0,0,0
"다바794656",0,0,0,0,0,0,0,0,0,0,127.2696747,36.78876933,0,0,0
"다바794655",0,0,0,0,0,0,0,0,0,0,127.2696774,36.78786786,0,0,0
"다바794654",0,0,0,0,0,0,0,0,0,0,127.2696801,36.78696639,0,0,0
"다바794653",0,0,0,0,0,0,0,0,0,0,127.2696828,36.78606493,0,0,0
"다바794652",0,0,0,0,0,0,0,0,0,0,127.2696855,36.78516346,0,0,0
"다바794651",0,0,0,0,0,0,0,0,0,0,127.2696882,36.78426199,0,0,0
"다바794650",0,0,0,0,0,0,0,0,0,0,127.2696909,36.78336052,0,0,0
"다바794649",0,0,0,0,0,0,0,0,0,0,127.2696936,36.78245905,0,0,0
"다바794648",0,0,0,0,0,0,0,0,0,0,127.2696963,36.78155758,0,0,0
"다바794647",0,0,0,0,0,0,0,0,0,0,127.269699,36.78065611,0,0,0
"다바794646",0,4,0,0,0,0,0,0,0,2.06,127.2697017,36.77975465,0,0,0
"다바794645",0,6,0,0,0,0,0,0,0,6.86,127.2697044,36.77885318,0,0,0
"다바794644",0,0,0,0,0,0,0,0,0,0,127.2697071,36.77795171,0,0,0
"다바794643",0,0,0,0,0,0,0,0,0,0,127.2697098,36.77705024,0,0,0
"다바794642",0,0,0,0,0,0,0,0,0,0,127.2697125,36.77614877,0,0,0
"다바794641",0,0,0,0,0,0,0,0,0,0,127.2697152,36.7752473,0,0,0
