gid,주차장,건물1,건물2,건물3,관공서,생산가능인구,전기차,충전소,교통량,유동인구,경도,위도
다바620545,,0,0,0,0,,0,0,,2.05,127.0752103,36.68817003
다바620544,,4,0,0,0,,0,0,,,127.0752152,36.68726856
다바620543,,0,0,0,0,,0,0,,0.69,127.0752202,36.6863671
다바620542,,1,0,0,0,,0,0,,23.95,127.0752251,36.68546563
다바620541,,7,0,0,0,,0,0,,287.15,127.0752301,36.68456416
다바620540,,13,0,0,0,,0,0,,294.16,127.075235,36.6836627
다바620539,,0,0,0,0,,0,0,,424.28,127.07524,36.68276123
다바620538,,0,0,0,0,,0,0,,14.8,127.075245,36.68185977
다바620537,,0,0,0,0,,0,0,,,127.0752499,36.6809583
다바620536,,2,0,0,0,,0,0,,1.38,127.0752549,36.68005683
다바620535,,0,0,0,0,,0,0,,0.4,127.0752598,36.67915537
다바620534,,0,0,0,0,,0,0,,,127.0752648,36.6782539
다바620533,,1,0,0,0,,0,0,,,127.0752697,36.67735243
다바620532,,0,0,0,0,,0,0,,0.11,127.0752747,36.67645096
다바620531,,0,0,0,0,,0,0,,0,127.0752796,36.6755495
다바620530,,0,0,0,0,,0,0,,,127.0752846,36.67464803
다바620529,,0,0,0,0,,0,0,,,127.0752896,36.67374656
다바620528,,0,0,0,0,,0,0,,,127.0752945,36.67284509
다바620527,,0,0,0,0,,0,0,,0.04,127.0752995,36.67194363
다바620526,,0,0,0,0,,0,0,,,127.0753044,36.67104216
다바620525,,0,0,0,0,,0,0,,,127.0753094,36.67014069
다바620524,,2,0,0,0,,0,0,,0,127.0753143,36.66923922
다바620523,,0,0,0,0,,0,0,,0.63,127.0753193,36.66833775
다바620522,,0,0,0,0,,0,0,,1.95,127.0753242,36.66743628
다바620521,,3,0,0,0,,0,0,,21.85,127.0753292,36.66653482
다바620520,,0,0,0,0,,0,0,,23.36,127.0753341,36.66563335
다바620519,,0,0,0,0,,0,0,,,127.0753391,36.66473188
다바620518,,0,0,0,0,,0,0,,6.92,127.075344,36.66383041
다바620517,,0,0,0,0,,0,0,,,127.075349,36.66292894
다바620516,,0,0,0,0,,0,0,,,127.075354,36.66202747
다바620515,,0,0,0,0,,0,0,,,127.0753589,36.661126
다바620514,,0,0,0,0,,0,0,,0.25,127.0753639,36.66022453
다바620513,,5,0,0,0,,0,0,,16.68,127.0753688,36.65932306
다바620512,,0,0,0,0,,0,0,,7.23,127.0753738,36.65842159
다바620511,,0,0,0,0,,0,0,,,127.0753787,36.65752012
다바620510,,0,0,0,0,,0,0,,,127.0753837,36.65661865
다바620509,,0,0,0,0,,0,0,,0.34,127.0753886,36.65571718
다바620508,,0,0,0,0,,0,0,,,127.0753936,36.65481571
다바620507,,0,0,0,0,,0,0,,,127.0753985,36.65391424
다바620506,,0,0,0,0,,0,0,,,127.0754035,36.65301277
다바620505,,0,0,0,0,,0,0,,,127.0754084,36.6521113
다바620504,,0,0,0,0,,0,0,,,127.0754134,36.65120983
다바620503,,0,0,0,0,,0,0,,,127.0754183,36.65030835
다바620502,,0,0,0,0,,0,0,,,127.0754233,36.64940688
다바620501,,0,0,0,0,,0,0,,,127.0754282,36.64850541
다바620500,,0,0,0,0,,0,0,,,127.0754332,36.64760394
다바620499,,0,0,0,0,,0,0,,,127.0754381,36.64670247
다바620498,,0,0,0,0,,0,0,,,127.075443,36.645801
다바620497,,0,0,0,0,,0,0,,,127.075448,36.64489952
