"건물용도코드","건물일련번호","경도","위도","건물종류","가점척도"
2001,75400,127.1332745,36.78821604,"아파트",2
2001,75394,127.1331305,36.78814456,"아파트",2
2001,75423,127.1348198,36.78711455,"아파트",2
2001,75378,127.1355627,36.78753289,"아파트",2
2001,75406,127.1322785,36.78793393,"아파트",2
2001,75424,127.1349912,36.78818416,"아파트",2
2001,75425,127.1349583,36.78806944,"아파트",2
2001,13971,127.1444433,36.79415723,"아파트",2
2001,13968,127.1448409,36.79456764,"아파트",2
2001,13974,127.1441542,36.79451653,"아파트",2
2001,13970,127.1444983,36.79504228,"아파트",2
2001,13973,127.1450614,36.79509474,"아파트",2
2001,13972,127.1438692,36.79487788,"아파트",2
2001,13975,127.1453885,36.79468601,"아파트",2
2001,143165,127.138548,36.78921546,"아파트",2
2001,143166,127.1388946,36.78951108,"아파트",2
2001,143167,127.1392027,36.78986145,"아파트",2
2001,143168,127.1394946,36.79025312,"아파트",2
2001,143169,127.1387163,36.79029289,"아파트",2
2001,143170,127.1389521,36.79066312,"아파트",2
2001,143171,127.1383649,36.79066802,"아파트",2
2001,143172,127.139494,36.79060195,"아파트",2
2001,17109,127.1395916,36.79192652,"아파트",2
2001,17092,127.1402946,36.79296038,"아파트",2
2001,17082,127.1397139,36.79381357,"아파트",2
2001,17087,127.1399444,36.79342336,"아파트",2
2001,17095,127.1397339,36.79260988,"아파트",2
2001,17102,127.1406412,36.79246542,"아파트",2
2001,17112,127.1392706,36.79233643,"아파트",2
2001,146611,127.1401283,36.79212974,"아파트",2
2001,43671,127.1413833,36.80543159,"아파트",2
2001,43673,127.1409283,36.80492527,"아파트",2
2001,43677,127.1416727,36.80483645,"아파트",2
2001,43667,127.1407891,36.80521378,"아파트",2
2001,43676,127.1415498,36.80499298,"아파트",2
2001,43670,127.1414859,36.80520173,"아파트",2
2001,43668,127.1419388,36.80471784,"아파트",2
2001,65198,127.1544085,36.80063244,"아파트",2
2001,64516,127.1555981,36.80250069,"아파트",2
5301,6530,127.1572793,36.80385631,"예식장",2
2001,62643,127.1549199,36.7989026,"아파트",2
2001,62659,127.1561352,36.79908357,"아파트",2
2001,62656,127.1571109,36.79908349,"아파트",2
2001,62657,127.1569604,36.79890385,"아파트",2
2001,26525,127.1622257,36.80723659,"아파트",2
5301,6353,127.1566855,36.80385908,"예식장",2
2001,26574,127.1606642,36.80799545,"아파트",2
2001,26571,127.1607461,36.80820845,"아파트",2
2001,71585,127.1610721,36.80965809,"아파트",2
2001,71586,127.1605872,36.80972016,"아파트",2
2001,71535,127.1621509,36.80800729,"아파트",2
2001,68681,127.1624601,36.80997432,"아파트",2
2001,71834,127.1635089,36.80744167,"아파트",2
2001,71833,127.1635137,36.80764843,"아파트",2
2001,68646,127.1637454,36.81120584,"아파트",2
2001,68647,127.1635376,36.81110507,"아파트",2
2001,71234,127.1577616,36.80523497,"아파트",2
2001,71235,127.1577713,36.80562054,"아파트",2
2001,28973,127.1546528,36.80144327,"아파트",2
2001,28974,127.1545382,36.80154379,"아파트",2
2001,28948,127.1620577,36.80743999,"아파트",2
2001,28949,127.1621791,36.80763891,"아파트",2
2001,5664,127.1478143,36.80274031,"아파트",2
2001,26967,127.1550098,36.82133653,"아파트",2
