"term","num"
"지급","2"
"지나어쩔수","2"
"지명","2"
"지목","2"
"지상","2"
"지속적","2"
"지위","2"
"지인","2"
"지정될까요저는","2"
"진서","2"
"진짜","2"
"진흙","2"
"집성촌을이루고","2"
"집중","2"
"짜증","2"
"짝이없습니다지금","2"
"차선","2"
"차원","2"
"참고","2"
"참나무","2"
"창인","2"
"찾아보겠습니까요즘","2"
"채취","2"
"책임입니다지금부터라도","2"
"처분","2"
"청림","2"
"초과","2"
"초래","2"
"초미세먼지","2"
"초여름","2"
"최근","2"
"춘포","2"
"출퇴근","2"
"충북","2"
"충분","2"
"측정","2"
"친절","2"
"침범","2"
"캠프","2"
"콘크리트","2"
"크고작은","2"
"큰효과가있다고","2"
"클럽","2"
"타인","2"
"태도입니까익산시민들","2"
"터전","2"
"토로","2"
"토목","2"
"토목공사","2"
"토사","2"
"통제","2"
"통지","2"
"퇴원","2"
"퉁명","2"
"특정폐기물","2"
"폄하","2"
"평균","2"
"평야","2"
"폐쇄적","2"
"폭우","2"
"표시기","2"
"표지판","2"
"하거","2"
"하게됩니다비가오면","2"
"하네","2"
"하는거","2"
"하는일입니다얼마나","2"
"하세요따라한다고","2"
"하소연","2"
"하수","2"
"하신","2"
"하천법","2"
"한거","2"
"한그루","2"
"한동네","2"
"한마디","2"
"한맘","2"
"한번씩","2"
"한사람","2"
"한숨","2"
"한지","2"
"할일","2"
"함라","2"
"합니다녹색환경과는","2"
"항의","2"
"해달라는거","2"
"해요","2"
"행복","2"
"행위허가","2"
"행정처분","2"
"허가신청","2"
"허용","2"
"허위기재","2"
"현실","2"
"혈액검사","2"
"홍보","2"
"화단","2"
"화분","2"
"화학약품","2"
"환경비","2"
"환경사랑","2"
"환기","2"
"회사","2"
"회원","2"
"후손","2"
"후진","2"
"휘가","2"
"aa","2"
"airway","2"
"cm","2"
"http","2"
"www","2"
